filtre;APP_Libelle_activite_etablissement;APP_Libelle_etablissement;ods_adresse;Code_postal;Libelle_commune;Synthese_eval_sanit;geores;SIRET;Date_inspection;Numero_inspection;Agrement;ods_type_activite
Restaurant;Restaurant;KORNER CAFE;13 QUAI MAL DE LATTRE DE TASSIGNY;34200;Sète;Satisfaisant;43.404436, 3.696484;81531727600013;2019-08-09T02:00:00+02:00;19-073253-1;;Autres
Restaurant;Restaurant;LE CAFE DU THEATRE;39, Avenue de la République;18100;Vierzon;Satisfaisant;47.223476, 2.064233;81371839200018;2018-10-03T02:00:00+02:00;18-096890-1;;Autres
Restaurant;Restaurant;LE CRAPAHUTEUR;18, Av. des Comtes de Cerdagne;66800;Saillagouse;Satisfaisant;42.457248, 2.038177;44183974300032;2019-06-03T02:00:00+02:00;19-018893-1;;Autres
Restaurant;Restaurant;LE SALINE;6 MTE DES PRINCES D'ORANGE;84100;Orange;Très satisfaisant;44.134996, 4.806306;84099196200027;2018-11-20T01:00:00+01:00;18-086328-1;;Autres
Restaurant;Restaurant;LE SPOT;LE SPOT;97410;Saint-Pierre;A améliorer;-21.314564, 55.438922;49889363500025;2019-03-07T01:00:00+01:00;19-028526-1;;Autres
Restaurant;Restaurant;LA MARYVONNE;21 RUE DE WATTIGNIES;75012;Paris 12e  Arrondissement;Satisfaisant;48.836505, 2.39391;78451142000019;2019-05-21T02:00:00+02:00;19-047313-1;;Autres
Restaurant;Restaurant;LA GAMBILLE;LES VERGNAIES;85420;Damvix;A améliorer;46.313247, -0.735704;52059001900011;2019-07-09T02:00:00+02:00;19-063279-1;;Autres
Restaurant;Restaurant;AU VIN DIU;1348 AVENUE RAYMOND DUGRAND;34000;Montpellier;Très satisfaisant;43.592965, 3.906367;82151659800017;2019-07-09T02:00:00+02:00;19-017185-1;;Autres
Restaurant;Restaurant;LA DENT CREUSE;2  R   CORMONT;80000;Amiens;Satisfaisant;49.894471, 2.301287;35025329000018;2019-02-27T01:00:00+01:00;18-096468-1;;Autres
Restaurant;Restaurant;LE CLUB;3 RUE DE LA RESISTANCE;94324;Thiais;Satisfaisant;48.757784, 2.387898;78845881800010;2018-09-05T02:00:00+02:00;18-068998-1;;Autres
Restaurant;Restaurant;LA BARRA LATINA;38 RUE SERVAN;75011;Paris 11e  Arrondissement;Satisfaisant;48.861942, 2.382474;49451603200013;2018-09-10T02:00:00+02:00;18-067793-1;;Autres
Restaurant;Restaurant;LAKASBAH;18, rue du Général de Gaulle;28210;Nogent-le-Roi;Satisfaisant;48.64825, 1.531927;48145356100013;2019-06-12T02:00:00+02:00;19-045399-1;;Autres
Restaurant;Restaurant;CHEZ GRANNY;33 RUE DU ROCHER;75008;Paris 8e  Arrondissement;Satisfaisant;48.877257, 2.321057;54000396900032;2019-05-20T02:00:00+02:00;19-045644-1;;Autres
Restaurant;Restaurant;SASU GRILL FOOD;2 RUE RASPAIL;59200;Tourcoing;Satisfaisant;50.735291, 3.14169;84109552400010;2018-09-12T02:00:00+02:00;18-069496-1;;Autres
Restaurant;Restaurant;RESTAURANT JOIA;39 RUE DES JEÛNEURS;75002;Paris 2e  Arrondissement;Satisfaisant;48.869739, 2.343484;83457803100025;2018-09-19T02:00:00+02:00;18-071499-1;;Autres
Restaurant;Restaurant;LE KIOSQUE A PIZZAS;LE KIOSQUE A PIZZAS;59180;Cappelle-la-Grande;Très satisfaisant;;80007941000018;2019-06-07T02:00:00+02:00;19-052413-1;;Autres
Restaurant;Restaurant;BIBIMBAP;32 BD DE L HOPITAL;75005;Paris 5e  Arrondissement;Très satisfaisant;48.840838, 2.362116;49823569600016;2018-09-21T02:00:00+02:00;18-072797-1;;Autres
Restaurant;Restaurant;CASA NOSTRA;CASA NOSTRA;24200;Sarlat-la-Canéda;Satisfaisant;44.889174, 1.21656;79890310000021;2018-10-02T02:00:00+02:00;18-074454-1;;Autres
Restaurant;Restaurant;NOODLES BAR;12 RUE DE LA COURONNE;13100;Aix-en-Provence;Très satisfaisant;43.527543, 5.445993;79100398100028;2018-08-29T02:00:00+02:00;18-010375-1;;Autres
Restaurant;Restaurant;CHAM;38 BOULEVARD DU MONTPARNASSE;75015;Paris 15e  Arrondissement;Satisfaisant;48.845125, 2.319538;82005309800019;2019-06-17T02:00:00+02:00;19-054252-1;;Autres
Restaurant;Restaurant;DEMPURE CHRISTELLE;2 RUE ARMAND MESNARD;16290;Asnières-sur-Nouère;Très satisfaisant;45.710487, 0.047329;80757300100011;2018-12-06T01:00:00+01:00;18-040413-1;;Autres
Restaurant;Restaurant;PIZZA CROQ;PLACE DES ARGENOLS;51150;Juvigny;Satisfaisant;49.015623, 4.270592;50958318300017;2018-11-12T01:00:00+01:00;18-084912-1;;Autres
Restaurant;Restaurant;LABEL VIE;45 AVENUE DE LA LIBERATION;42120;Le Coteau;Satisfaisant;46.029488, 4.083941;80881214300028;2019-04-05T02:00:00+02:00;19-033531-1;;Autres
Restaurant;Restaurant;LE BIENVENU;LE BIENVENU;28160;Brou;Satisfaisant;48.208728, 1.179463;50412073400018;2019-02-05T01:00:00+01:00;19-012238-1;;Autres
Restaurant;Restaurant;LE BACCHUS;60 BD FERNAND MOUREAUX;14360;Trouville-sur-Mer;Très satisfaisant;49.363274, 0.084642;84480366800012;2019-03-28T01:00:00+01:00;19-030907-1;;Autres
Restaurant;Restaurant;TAKING FOOD;210 AVENUE DE BREDASQUE;13090;Aix-en-Provence;Satisfaisant;43.53447, 5.417022;81144988300016;2018-11-14T01:00:00+01:00;18-010398-1;;Autres
Restaurant;Restaurant;SARL 1POSTUR L'ENCLOS DE NINON;68 RUE DU CARDINAL LEMOINE;75005;Paris 5e  Arrondissement;Satisfaisant;48.845292, 2.349901;82093268900012;2018-09-27T02:00:00+02:00;18-074716-1;;Autres
Restaurant;Restaurant;L'ASSIETTE MOULFRITES;30, Quai Saint Cosme;71100;Chalon-sur-Saône;Satisfaisant;46.776571, 4.847905;33336977500023;2019-07-04T02:00:00+02:00;18-097553-1;;Autres
Restaurant;Restaurant;PLANET SUSHI;5 PLACE DU MARECHAL JUIN;75017;Paris 17e  Arrondissement;Très satisfaisant;48.884361, 2.297445;50433031700026;2019-07-12T02:00:00+02:00;19-069213-1;;Autres
Restaurant;Restaurant;DOLCE ITALIA;8 RUE CAINAIN;56300;Pontivy;Satisfaisant;48.066128, -2.964917;75251444800014;2019-07-09T02:00:00+02:00;19-000969-1;;Autres
Restaurant;Restaurant;HOTEL RESTAURANT CHARBONNEL;57 RUE GAMBETTA;24310;Brantôme en Périgord;Satisfaisant;45.36513, 0.649884;83471723300011;2019-06-06T02:00:00+02:00;19-052313-1;;Autres
Restaurant;Restaurant;NANASHI CHARLOT;57 RUE CHARLOT;75003;Paris 3e  Arrondissement;Satisfaisant;48.863449, 2.363148;50139693100021;2018-10-30T01:00:00+01:00;18-084140-1;;Autres
Restaurant;Restaurant;OCEANIA;3 RUE DU CLOS RENE;34000;Montpellier;Très satisfaisant;43.606633, 3.880376;78855240400022;2019-05-06T02:00:00+02:00;19-018283-1;;Autres
Restaurant;Restaurant;SAMFOUD;1 Rue Henri Barbusse;17000;La Rochelle;Satisfaisant;46.154894, -1.137252;81000236000016;2018-09-04T02:00:00+02:00;18-021510-1;;Autres
Restaurant;Restaurant;AU P'TIT WARCQUIN;Rue Saint Paul;08000;Warcq;Satisfaisant;49.778997, 4.694581;52328636700017;2019-06-06T02:00:00+02:00;19-053443-1;;Autres
Restaurant;Restaurant;LE STAND;9 BOULEVARD EDGAR QUINET;75014;Paris 14e  Arrondissement;Satisfaisant;48.840815, 2.325107;81517960100019;2018-10-02T02:00:00+02:00;18-074598-1;;Autres
